datetime,open,high,low,close,volume
2026-09-02 12:05:00,0.557,0.559,0.555,0.556,26199.2
2026-09-02 12:10:00,0.556,0.559,0.555,0.557,43678.11
2026-09-02 12:15:00,0.557,0.563,0.557,0.561,63284.33
2026-09-02 12:20:00,0.561,0.564,0.561,0.563,84295.35
2026-09-02 12:25:00,0.562,0.562,0.561,0.561,57704.95
2026-09-02 12:30:00,0.56,0.562,0.56,0.561,31913.39
2026-09-02 12:35:00,0.561,0.562,0.56,0.562,13152.14
2026-09-02 12:40:00,0.561,0.561,0.559,0.561,13299.27
2026-09-02 12:45:00,0.561,0.561,0.559,0.56,28765.79
2026-09-02 12:50:00,0.56,0.56,0.555,0.556,37802.07
2026-09-02 12:55:00,0.555,0.556,0.554,0.556,7990.64
2026-09-02 13:00:00,0.556,0.561,0.556,0.561,31996.48
2026-09-02 13:05:00,0.561,0.562,0.56,0.56,45913.78
2026-09-02 13:10:00,0.56,0.56,0.556,0.557,31625.76
2026-09-02 13:15:00,0.557,0.558,0.557,0.558,37270.94
2026-09-02 13:20:00,0.559,0.559,0.556,0.557,10926.0
2026-09-02 13:25:00,0.556,0.557,0.555,0.555,39585.66
2026-09-02 13:30:00,0.554,0.555,0.553,0.553,60232.08
2026-09-02 13:35:00,0.553,0.553,0.551,0.553,18876.88
2026-09-02 13:40:00,0.553,0.562,0.553,0.562,34850.61
2026-09-02 13:45:00,0.562,0.562,0.558,0.558,78804.84
2026-09-02 13:50:00,0.558,0.559,0.557,0.559,18038.68
2026-09-02 13:55:00,0.558,0.559,0.557,0.559,13384.17
2026-09-02 14:00:00,0.559,0.561,0.559,0.56,33775.59
2026-09-02 14:05:00,0.56,0.561,0.559,0.56,23236.94
2026-09-02 14:10:00,0.56,0.561,0.56,0.561,24735.01
2026-09-02 14:15:00,0.561,0.561,0.559,0.561,22670.28
2026-09-02 14:20:00,0.56,0.565,0.56,0.562,83464.68
2026-09-02 14:25:00,0.561,0.562,0.561,0.562,35383.38
2026-09-02 14:30:00,0.563,0.563,0.559,0.56,28001.01
2026-09-02 14:35:00,0.56,0.56,0.559,0.56,13869.77
2026-09-02 14:40:00,0.56,0.562,0.558,0.562,53600.28
2026-09-02 14:45:00,0.562,0.562,0.56,0.56,38627.42
2026-09-02 14:50:00,0.56,0.561,0.559,0.56,21678.0
2026-09-02 14:55:00,0.56,0.561,0.559,0.56,13799.62
2026-09-02 15:00:00,0.559,0.562,0.557,0.561,289585.68
2026-09-02 15:05:00,0.561,0.563,0.559,0.56,42398.97
2026-09-02 15:10:00,0.559,0.56,0.555,0.556,55199.39
2026-09-02 15:15:00,0.557,0.562,0.557,0.561,15232.95
2026-09-02 15:20:00,0.561,0.561,0.559,0.559,20072.97
2026-09-02 15:25:00,0.559,0.559,0.558,0.558,13542.71
2026-09-02 15:30:00,0.559,0.559,0.557,0.559,22264.53
2026-09-02 15:35:00,0.56,0.561,0.559,0.559,9035.02
2026-09-02 15:40:00,0.559,0.562,0.559,0.561,8381.88
2026-09-02 15:45:00,0.561,0.561,0.558,0.558,28947.24
2026-09-02 15:50:00,0.559,0.56,0.558,0.56,22053.48
2026-09-02 15:55:00,0.56,0.561,0.559,0.561,18470.81
2026-09-02 16:00:00,0.561,0.563,0.56,0.563,37821.24
2026-09-02 16:05:00,0.562,0.562,0.56,0.561,74356.85
2026-09-02 16:10:00,0.561,0.561,0.559,0.559,353914.06
2026-09-02 16:15:00,0.558,0.559,0.557,0.557,82967.85
2026-09-02 16:20:00,0.557,0.559,0.557,0.559,48750.08
2026-09-02 16:25:00,0.559,0.559,0.557,0.557,14764.41
2026-09-02 16:30:00,0.558,0.559,0.557,0.559,43998.14
2026-09-02 16:35:00,0.559,0.559,0.558,0.558,32062.06
2026-09-02 16:40:00,0.558,0.558,0.555,0.556,95740.61
2026-09-02 16:45:00,0.556,0.558,0.556,0.558,16522.34
2026-09-02 16:50:00,0.559,0.561,0.558,0.56,56597.9
2026-09-02 16:55:00,0.56,0.56,0.556,0.557,18863.97
2026-09-02 17:00:00,0.557,0.558,0.555,0.555,21499.99
2026-09-02 17:05:00,0.556,0.557,0.555,0.555,44240.07
2026-09-02 17:10:00,0.555,0.556,0.555,0.555,14749.22
2026-09-02 17:15:00,0.555,0.555,0.553,0.553,18551.62
2026-09-02 17:20:00,0.552,0.554,0.551,0.554,40532.1
2026-09-02 17:25:00,0.554,0.554,0.553,0.554,8283.38
2026-09-02 17:30:00,0.554,0.558,0.554,0.557,23651.47
2026-09-02 17:35:00,0.556,0.556,0.555,0.555,41046.87
2026-09-02 17:40:00,0.556,0.556,0.554,0.556,20131.69
2026-09-02 17:45:00,0.557,0.56,0.557,0.56,13632.75
2026-09-02 17:50:00,0.56,0.56,0.559,0.559,17114.1
2026-09-02 17:55:00,0.559,0.56,0.559,0.56,18053.45
2026-09-02 18:00:00,0.559,0.56,0.558,0.559,16580.99
2026-09-02 18:05:00,0.558,0.559,0.558,0.559,16113.35
2026-09-02 18:10:00,0.559,0.561,0.559,0.56,13486.82
2026-09-02 18:15:00,0.56,0.562,0.56,0.561,25443.41
2026-09-02 18:20:00,0.561,0.561,0.56,0.56,26991.17
2026-09-02 18:25:00,0.561,0.561,0.56,0.561,20873.75
2026-09-02 18:30:00,0.561,0.563,0.56,0.562,87731.67
2026-09-02 18:35:00,0.562,0.562,0.56,0.56,9111.61
2026-09-02 18:40:00,0.561,0.563,0.56,0.562,102735.25
2026-09-02 18:45:00,0.562,0.571,0.562,0.569,319739.15
2026-09-02 18:50:00,0.569,0.574,0.566,0.57,294598.21
2026-09-02 18:55:00,0.57,0.574,0.569,0.573,90878.71
2026-09-02 19:00:00,0.573,0.575,0.57,0.574,67661.12
2026-09-02 19:05:00,0.573,0.576,0.573,0.576,180249.97
2026-09-02 19:10:00,0.577,0.582,0.574,0.575,206201.54
2026-09-02 19:15:00,0.575,0.577,0.574,0.577,53603.25
2026-09-02 19:20:00,0.577,0.578,0.575,0.576,123746.69
2026-09-02 19:25:00,0.576,0.576,0.571,0.571,48645.98
2026-09-02 19:30:00,0.571,0.572,0.568,0.569,92321.98
2026-09-02 19:35:00,0.569,0.571,0.569,0.57,74061.04
2026-09-02 19:40:00,0.569,0.57,0.569,0.569,10630.52
2026-09-02 19:45:00,0.569,0.573,0.569,0.572,134956.6
2026-09-02 19:50:00,0.573,0.577,0.572,0.577,31503.15
2026-09-02 19:55:00,0.576,0.579,0.575,0.579,49918.13
2026-09-02 20:00:00,0.579,0.58,0.577,0.578,98842.29
2026-09-02 20:05:00,0.578,0.587,0.578,0.587,250274.79
2026-09-02 20:10:00,0.587,0.589,0.582,0.585,143070.58
2026-09-02 20:15:00,0.585,0.585,0.582,0.584,107206.61
2026-09-02 20:20:00,0.584,0.584,0.582,0.583,29869.52
2026-09-02 20:25:00,0.583,0.585,0.58,0.581,92910.23
2026-09-02 20:30:00,0.581,0.586,0.581,0.586,64860.18
2026-09-02 20:35:00,0.586,0.586,0.583,0.585,61165.21
2026-09-02 20:40:00,0.585,0.588,0.584,0.585,53663.3
2026-09-02 20:45:00,0.586,0.589,0.586,0.586,70351.43
2026-09-02 20:50:00,0.586,0.587,0.585,0.586,23962.27
2026-09-02 20:55:00,0.585,0.587,0.585,0.587,38979.75
2026-09-02 21:00:00,0.586,0.587,0.582,0.582,46739.76
2026-09-02 21:05:00,0.582,0.583,0.577,0.577,61106.53
2026-09-02 21:10:00,0.577,0.58,0.576,0.577,38623.14
2026-09-02 21:15:00,0.578,0.579,0.576,0.576,28666.9
2026-09-02 21:20:00,0.576,0.578,0.576,0.578,37300.39
2026-09-02 21:25:00,0.578,0.579,0.577,0.577,28238.02
